Player,Team,RATT,RYDS,RTDS,REC,CYDS,CTDS,FL,FPTS,POS,RBTrueFPTs,RBRank,VORP,WRTrueFPTs,WRRank,PATT,CMP,PYDS,PTDS,INTS,QBTrueFPTs,QBRank,TETrueFPTs,TERank
Christian McCaffrey,CAR,297.1,1301.6,11.9,96.8,785.0,4.3,2.5,301.0,RB,325.05999999999995,1.0,237.38999999999993,,,,,,,,,,,
Dalvin Cook,MIN,317.5,1491.7,13.0,54.6,472.3,2.0,2.9,280.2,RB,294.25,2.0,206.57999999999998,,,,,,,,,,,
Derrick Henry,TEN,341.0,1669.9,14.2,24.1,179.8,1.1,2.7,271.3,RB,277.39500000000004,3.0,189.72500000000002,,,,,,,,,,,
Alvin Kamara,NO,206.9,941.4,9.7,80.2,685.9,3.5,1.9,238.0,RB,258.18,4.0,170.51,,,,,,,,,,,
Saquon Barkley,NYG,265.2,1197.7,9.1,55.9,433.2,2.0,1.8,225.8,RB,240.065,5.0,152.39499999999998,,,,,,,,,,,
Ezekiel Elliott,DAL,281.7,1209.2,9.5,52.8,393.0,2.4,2.9,225.8,RB,239.02,6.0,151.35000000000002,,,,,,,,,,,
Aaron Jones,GB,231.8,1123.5,10.4,50.6,393.1,2.7,2.1,226.3,RB,238.71000000000004,7.0,151.04000000000002,,,,,,,,,,,
Jonathan Taylor,IND,270.7,1252.2,10.6,42.1,320.7,1.6,1.9,226.3,RB,237.215,8.0,149.54500000000002,,,,,,,,,,,
Nick Chubb,CLE,273.5,1371.7,11.1,28.6,225.2,1.0,1.9,228.2,RB,235.64000000000001,9.0,147.97000000000003,,,,,,,,,,,
Joe Mixon,CIN,276.5,1164.6,8.1,50.2,366.9,2.9,2.0,215.2,RB,227.7,10.0,140.02999999999997,,,,,,,,,,,
Austin Ekeler,LAC,180.7,820.9,4.7,80.1,690.4,4.9,1.6,205.8,RB,225.555,11.0,137.885,,,,,,,,,,,
Najee Harris,PIT,259.4,1152.3,8.7,49.4,365.7,2.2,2.6,212.3,RB,224.35000000000002,12.0,136.68,,,,,,,,,,,
Antonio Gibson,WAS,242.4,1085.8,9.7,45.5,330.9,1.4,2.1,204.2,RB,215.445,13.0,127.77499999999999,,,,,,,,,,,
Clyde Edwards-Helaire,KC,221.8,998.9,7.3,50.6,389.4,2.2,1.8,192.3,RB,204.88000000000002,14.0,117.21000000000002,,,,,,,,,,,
Chris Carson,SEA,230.6,1056.0,7.4,43.3,321.1,2.4,2.1,192.2,RB,203.13500000000002,15.0,115.46500000000002,,,,,,,,,,,
D'Andre Swift,DET,195.4,870.0,8.0,58.7,435.9,2.1,2.3,186.3,RB,201.26500000000001,16.0,113.59500000000001,,,,,,,,,,,
David Montgomery,CHI,253.5,1061.2,7.9,39.4,312.2,1.6,2.0,190.4,RB,200.19000000000003,17.0,112.52000000000002,,,,,,,,,,,
J.K. Dobbins,BAL,212.0,1076.4,9.4,31.6,241.0,1.2,1.6,192.1,RB,200.04000000000005,18.0,112.37000000000005,,,,,,,,,,,
Josh Jacobs,LV,251.2,1073.2,9.5,31.5,236.5,0.9,2.0,189.1,RB,197.245,19.0,109.575,,,,,,,,,,,
Miles Sanders,PHI,221.5,1060.4,6.5,40.9,336.7,1.6,1.8,185.1,RB,194.93500000000003,20.0,107.26500000000003,,,,,,,,,,,
Darrell Henderson,LAR,235.0,1010.9,7.7,32.4,269.0,1.6,1.8,180.5,RB,188.29,21.0,100.61999999999999,,,,,,,,,,,
Myles Gaskin,MIA,213.9,909.2,6.0,47.9,370.8,1.9,2.0,171.8,RB,183.37500000000003,22.0,95.70500000000003,,,,,,,,,,,
Mike Davis,ATL,221.8,877.2,6.5,48.7,311.3,1.7,1.9,164.4,RB,176.425,23.0,88.75500000000001,,,,,,,,,,,
Chase Edmonds,ARI,167.9,748.1,4.9,51.6,378.7,2.9,1.5,156.6,RB,169.38000000000002,24.0,81.71000000000002,,,,,,,,,,,
Travis Etienne,JAC,133.7,595.9,4.1,63.2,500.9,2.6,3.0,143.9,RB,159.67999999999998,25.0,72.00999999999998,,,,,,,,,,,
Kareem Hunt,CLE,155.7,689.4,5.6,38.5,313.6,2.5,1.3,146.2,RB,155.92499999999998,26.0,68.25499999999998,,,,,,,,,,,
James Robinson,JAC,183.2,801.6,5.6,30.4,217.3,1.0,1.5,138.5,RB,146.09,27.0,58.42,,,,,,,,,,,
Javonte Williams,DEN,188.3,835.5,5.5,25.9,202.4,1.1,2.0,139.4,RB,145.865,28.0,58.19500000000001,,,,,,,,,,,
Damien Harris,NE,210.6,991.6,5.8,11.5,87.9,0.3,1.4,141.8,RB,144.625,29.0,56.955,,,,,,,,,,,
Raheem Mostert,SF,154.3,768.6,6.0,23.9,206.8,1.3,1.4,138.7,RB,144.51500000000001,30.0,56.84500000000001,,,,,,,,,,,
Leonard Fournette,TB,167.1,685.0,6.4,28.7,198.3,0.8,1.2,129.2,RB,136.305,31.0,48.635000000000005,,,,,,,,,,,
David Johnson,HOU,142.0,593.7,4.3,35.1,315.5,2.0,1.4,125.3,RB,134.695,32.0,47.02499999999999,,,,,,,,,,,
Melvin Gordon III,DEN,168.9,743.7,5.5,21.5,140.4,1.0,2.4,122.4,RB,127.985,33.0,40.315,,,,,,,,,,,
Zack Moss,BUF,157.1,670.9,5.7,24.5,175.7,0.9,1.2,122.3,RB,127.98499999999999,34.0,40.31499999999998,,,,,,,,,,,
James Conner,ARI,149.9,671.7,5.7,22.9,160.6,0.7,1.4,119.0,RB,124.555,35.0,36.885000000000005,,,,,,,,,,,
Michael Carter,NYJ,154.7,646.8,3.8,31.5,241.3,1.1,1.8,115.0,RB,122.485,36.0,34.815,,,,,,,,,,,
Ronald Jones II,TB,162.2,729.0,5.4,16.0,112.8,0.3,1.4,115.6,RB,119.58000000000001,37.0,31.91000000000001,,,,,,,,,,,
Kenyan Drake,LV,135.2,562.2,4.6,35.1,247.4,0.8,1.4,110.2,RB,119.33500000000001,38.0,31.665000000000006,,,,,,,,,,,
Trey Sermon,SF,140.2,636.4,5.1,19.4,157.3,1.0,1.8,112.5,RB,117.22,39.0,29.549999999999997,,,,,,,,,,,
Gus Edwards,BAL,152.2,738.9,5.1,11.0,93.6,0.3,1.3,113.2,RB,115.8,40.0,28.129999999999995,,,,,,,,,,,
Jamaal Williams,DET,137.5,566.6,3.5,35.0,239.1,1.2,1.2,106.8,RB,115.12,41.0,27.450000000000003,,,,,,,,,,,
Latavius Murray,NO,141.6,599.3,4.1,25.3,183.9,1.0,1.2,106.3,RB,112.84499999999998,42.0,25.174999999999983,,,,,,,,,,,
AJ Dillon,GB,141.9,640.3,4.5,15.2,116.8,0.5,1.4,103.0,RB,106.71000000000001,43.0,19.040000000000006,,,,,,,,,,,
Tony Pollard,DAL,110.7,494.9,3.2,30.6,225.1,1.3,1.2,96.6,RB,104.25,44.0,16.58,,,,,,,,,,,
Devin Singletary,BUF,119.7,528.0,2.9,30.4,214.4,1.2,1.3,96.7,RB,103.84,45.0,16.17,,,,,,,,,,,
J.D. McKissic,WAS,65.7,283.8,1.5,56.4,409.5,1.7,0.8,87.4,RB,101.03,46.0,13.36,,,,,,,,,,,
Nyheim Hines,IND,61.9,266.7,1.9,50.2,373.9,2.2,1.2,86.0,RB,98.81,47.0,11.14,,,,,,,,,,,
James White,NE,52.5,214.7,1.8,52.1,419.4,2.3,1.2,85.4,RB,98.63499999999999,48.0,10.96499999999999,,,,,,,,,,,
Tevin Coleman,NYJ,130.4,504.3,3.6,17.5,133.0,0.3,1.2,84.7,RB,89.10499999999999,49.0,1.434999999999988,,,,,,,,,,,
Alexander Mattison,MIN,115.6,519.6,2.7,16.2,132.6,0.6,0.7,84.1,RB,87.67,50.0,0.0,,,,,,,,,,,
Phillip Lindsay,HOU,107.3,473.8,2.8,20.5,131.4,0.3,1.1,76.8,RB,82.045,51.0,-5.625,,,,,,,,,,,
Tarik Cohen,CHI,53.4,219.8,1.2,45.1,307.2,1.5,1.2,66.6,RB,77.77499999999999,52.0,-9.89500000000001,,,,,,,,,,,
Xavier Jones,LAR,98.1,405.2,3.4,14.0,113.3,0.6,1.2,73.9,RB,76.94999999999999,53.0,-10.720000000000013,,,,,,,,,,,
Rashaad Penny,SEA,86.7,404.8,3.0,13.7,108.2,0.7,0.7,71.8,RB,75.525,54.0,-12.144999999999996,,,,,,,,,,,
Darrel Williams,KC,79.3,332.0,3.2,20.2,149.1,0.7,0.6,70.8,RB,75.36,55.0,-12.310000000000002,,,,,,,,,,,
Giovani Bernard,TB,55.4,201.5,1.4,35.8,272.0,1.5,0.6,63.2,RB,72.50000000000001,56.0,-15.169999999999987,,,,,,,,,,,
Damien Williams,CHI,69.5,292.4,2.8,19.6,140.0,1.2,0.6,66.0,RB,70.94,57.0,-16.730000000000004,,,,,,,,,,,
Sony Michel,NE,93.3,413.1,2.6,7.6,65.7,0.4,0.6,64.5,RB,66.58,58.0,-21.090000000000003,,,,,,,,,,,
Ty Johnson,NYJ,76.2,329.7,2.2,15.3,104.6,0.6,0.3,59.8,RB,63.455000000000005,59.0,-24.214999999999996,,,,,,,,,,,
Malcolm Brown,MIA,80.0,311.7,3.5,10.6,70.5,0.2,0.7,59.1,RB,61.67,60.0,-26.0,,,,,,,,,,,
Justin Jackson,LAC,77.5,349.8,1.6,15.8,111.9,0.4,0.6,57.1,RB,60.92000000000001,61.0,-26.749999999999993,,,,,,,,,,,
Darrynton Evans,TEN,57.8,249.2,2.0,16.8,137.0,1.0,0.7,55.5,RB,59.42000000000001,62.0,-28.249999999999993,,,,,,,,,,,
Qadree Ollison,ATL,79.3,301.2,2.8,9.6,77.5,0.6,0.7,56.8,RB,59.27,63.0,-28.4,,,,,,,,,,,
Boston Scott,PHI,53.2,225.2,1.8,21.8,172.4,0.7,0.7,52.9,RB,58.809999999999995,64.0,-28.860000000000007,,,,,,,,,,,
Joshua Kelley,LAC,97.2,361.4,2.4,9.3,67.1,0.2,1.7,54.9,RB,57.375,65.0,-30.295,,,,,,,,,,,
Salvon Ahmed,MIA,74.1,311.5,2.1,12.6,84.3,0.4,0.3,54.0,RB,57.13,66.0,-30.54,,,,,,,,,,,
Jeff Wilson Jr.,SF,65.2,286.7,3.4,5.3,48.2,0.6,1.0,55.6,RB,56.815,67.0,-30.855000000000004,,,,,,,,,,,
Devontae Booker,NYG,78.0,329.2,2.0,11.8,78.1,0.2,0.7,52.7,RB,55.480000000000004,68.0,-32.19,,,,,,,,,,,
Marlon Mack,IND,73.7,314.7,2.6,8.7,62.1,0.2,0.6,53.0,RB,55.455,69.0,-32.215,,,,,,,,,,,
Cordarrelle Patterson,ATL,49.2,225.2,1.4,15.1,133.1,0.7,0.2,48.2,RB,51.80499999999999,70.0,-35.86500000000001,,,,,,,,,,,
Rex Burkhead,HOU,35.7,150.5,1.4,18.1,169.6,1.3,0.6,47.1,RB,51.535000000000004,71.0,-36.135,,,,,,,,,,,
DeeJay Dallas,SEA,50.6,202.8,1.7,16.7,122.6,0.9,0.6,46.7,RB,51.114999999999995,72.0,-36.55500000000001,,,,,,,,,,,
Mark Ingram II,HOU,59.4,244.2,1.8,11.9,99.1,0.7,0.6,48.4,RB,51.105000000000004,73.0,-36.565,,,,,,,,,,,
Kenneth Gainwell,PHI,54.4,248.4,1.7,13.4,104.0,0.5,1.1,45.9,RB,49.59,74.0,-38.08,,,,,,,,,,,
Chuba Hubbard,CAR,61.8,261.0,2.0,10.6,86.0,0.4,1.1,46.7,RB,49.55,75.0,-38.120000000000005,,,,,,,,,,,
Rhamondre Stevenson,NE,60.6,263.8,2.1,9.7,73.4,0.4,1.1,46.6,RB,48.945,76.0,-38.725,,,,,,,,,,,
Kyle Juszczyk,SF,13.9,52.6,0.7,21.8,230.2,2.0,0.7,43.0,RB,48.529999999999994,77.0,-39.14000000000001,,,,,,,,,,,
Wayne Gallman,SF,52.9,235.2,2.4,9.2,71.7,0.4,1.0,45.8,RB,47.79,78.0,-39.88,,,,,,,,,,,
